,species_id,name,flavor_text
0,1,Bulbasaur,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
1,2,Ivysaur,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
2,3,Venusaur,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people."
3,4,Charmander,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely."
4,5,Charmeleon,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
5,6,Charizard,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
6,7,Squirtle,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds."
7,8,Wartortle,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler."
8,9,Blastoise,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
9,10,Caterpie,"Caterpie has a voracious appetite. It can devour leaves
bigger than its body right before your eyes. From its antenna,
this Pokémon releases a terrifically strong odor."
10,11,Metapod,"The shell covering this Pokémon’s body is as hard as an
iron slab. Metapod does not move very much.
It stays still because it is preparing its soft innards for
evolution inside the hard shell."
11,12,Butterfree,"Butterfree has a superior ability to search for delicious honey
from flowers. It can even search out, extract, and carry honey
from flowers that are blooming over six miles from its nest."
12,13,Weedle,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose)."
13,14,Kakuna,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch."
14,15,Beedrill,"Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm."
15,16,Pidgey,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings."
16,17,Pidgeotto,"Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
17,18,Pidgeot,"This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon."
18,19,Rattata,"Rattata is cautious in the extreme. Even while it is asleep,
it constantly listens by moving its ears around. It is not
picky about where it lives—it will make its nest anywhere."
19,20,Raticate,"Raticate’s sturdy fangs grow steadily. To keep them
ground down, it gnaws on rocks and logs. It may
even chew on the walls of houses."
20,21,Spearow,"Spearow has a very loud cry that can be heard over
half a mile away. If its high, keening cry is heard echoing all
around, it is a sign that they are warning each other of danger."
21,22,Fearow,"Fearow is recognized by its long neck and elongated beak.
They are conveniently shaped for catching prey in soil or
water. It deftly moves its long and skinny beak to pluck prey."
22,23,Ekans,"Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head."
23,24,Arbok,"This Pokémon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums. Once Arbok
wraps its body around its foe, escaping its crunching embrace
is impossible."
24,25,Pikachu,"This Pokémon has electricity-storing pouches on its cheeks.
These appear to become electrically charged during the night
while Pikachu sleeps. It occasionally discharges electricity
when it is dozy after waking up."
25,26,Raichu,"This Pokémon exudes a weak electrical charge from all over
its body that makes it take on a slight glow in darkness.
Raichu plants its tail in the ground to discharge electricity."
26,27,Sandshrew,"Sandshrew has a very dry hide that is extremely tough.
The Pokémon can roll into a ball that repels any attack.
At night, it burrows into the desert sand to sleep."
27,28,Sandslash,"Sandslash can roll up its body as if it were a ball covered
with large spikes. In battle, this Pokémon will try to make
the foe flinch by jabbing it with its spines. It then leaps at
the stunned foe to tear wildly with its sharp claws."
28,29,Nidoran♀,"Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn."
29,30,Nidorina,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others."
30,31,Nidoqueen,"Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young."
31,32,Nidoran♂,"Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice."
32,33,Nidorino,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might."
33,34,Nidoking,"Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it."
34,35,Clefairy,"On every night of a full moon, groups of this Pokémon
come out to play. When dawn arrives, the tired Clefairy
return to their quiet mountain retreats and go to sleep
nestled up against each other."
35,36,Clefable,"Clefable moves by skipping lightly as if it were flying using
its wings. Its bouncy step lets it even walk on water.
It is known to take strolls on lakes on quiet, moonlit nights."
36,37,Vulpix,"Inside Vulpix’s body burns a flame that never goes out.
During the daytime, when the temperatures rise, this
Pokémon releases flames from its mouth to prevent its
body from growing too hot."
37,38,Ninetales,"Legend has it that Ninetales came into being when
nine wizards possessing sacred powers merged into one.
This Pokémon is highly intelligent—it can understand
human speech."
38,39,Jigglypuff,"When this Pokémon sings, it never pauses to breathe.
If it is in a battle against an opponent that does not easily
fall asleep, Jigglypuff cannot breathe, endangering its life."
39,40,Wigglytuff,"Wigglytuff’s body is very flexible. By inhaling deeply,
this Pokémon can inflate itself seemingly without end.
Once inflated, Wigglytuff bounces along lightly like a balloon."
40,41,Zubat,"Zubat avoids sunlight because exposure causes it to become
unhealthy. During the daytime, it stays in caves or under
the eaves of old houses, sleeping while hanging upside down."
